sex,age,hours,inctot
2,23,54,3630
1,23,0,0
2,23,45,24000
1,23,40,13000
1,23,40,14800
2,23,0,3780
2,23,40,16500
1,23,40,14520
2,23,37,16090
2,23,40,15000
1,23,0,0
1,23,30,8000
1,23,60,30000
2,23,20,24000
1,23,0,0
1,23,50,6000
1,23,40,12000
2,23,30,3300
2,23,32,18900
2,23,20,610
1,23,50,17000
2,23,26,16000
1,23,40,16600
1,23,0,0
1,23,50,16000
2,23,0,0
2,23,52,13800
2,23,33,3000
2,23,20,18000
2,23,40,24000
1,23,40,11000
2,23,65,22000
2,23,40,3000
1,23,40,18200
1,23,70,22000
2,23,40,15500
1,23,45,31000
2,23,30,8000
1,23,40,18600
1,23,0,0
2,23,45,19000
2,23,38,24000
2,23,35,1330
1,23,40,28000
2,23,40,16000
2,23,0,4800
2,23,25,230
1,23,50,27000
1,23,65,41000
1,23,60,10000
1,23,16,7500
2,23,45,610
2,23,40,18200
1,23,40,45000
1,23,40,16800
1,23,40,45000
1,23,40,22300
2,24,40,22000
2,24,40,12000
1,24,40,22050
1,24,40,42000
2,24,20,26000
1,24,0,0
1,24,8,5000
1,24,40,16300
1,24,40,21000
1,24,40,27000
2,24,40,20600
2,24,50,30000
1,24,40,12600
2,24,40,35000
1,24,40,46000
2,24,50,2000
1,24,0,0
1,24,40,25800
1,24,40,9300
1,24,40,17000
1,24,30,4000
1,24,0,0
1,24,40,35000
1,24,25,5000
2,24,37,19300
2,24,10,3500
1,24,40,41300
2,24,35,2000
1,24,40,8000
1,24,0,6330
2,24,40,4000
1,24,60,35000
2,24,0,10
1,24,85,65200
2,24,0,0
2,24,60,43000
2,24,40,18300
2,24,40,11500
1,24,40,21400
1,24,22,13600
2,24,40,10000
2,24,32,13500
1,24,80,40000
1,24,40,14500
2,24,10,15000
1,24,60,26000
2,24,40,6000
2,24,40,6000
2,24,50,6000
2,24,0,0
2,24,0,0
1,24,39,11000
2,24,0,0
1,24,0,0
2,24,35,8700
1,24,0,0
2,25,0,0
1,25,40,45000
1,25,45,25100
1,25,0,0
1,25,40,10400
1,25,0,0
1,25,40,27000
2,25,40,22440
2,25,65,65000
2,25,0,0
2,25,35,8600
2,25,40,22700
1,25,40,28000
1,25,40,15000
1,25,40,15000
2,25,40,21000
2,25,30,3000
1,25,40,22400
1,25,40,50000
1,25,50,35000
2,25,25,760
1,25,40,8000
2,25,40,25000
1,25,40,8000
2,25,35,13500
1,25,40,30000
1,25,45,27030
1,25,10,12370
2,25,40,18000
1,25,40,40000
1,25,40,42800
1,25,45,20010
2,25,25,15000
2,25,0,0
2,25,40,24000
2,25,40,43020
1,25,40,15200
1,25,40,13000
2,25,0,0
2,25,35,16000
1,25,0,1600
1,25,0,6000
1,25,40,34120
1,25,40,50000
2,25,40,25000
1,25,0,200
2,25,30,9000
2,25,0,0
2,25,45,30100
2,25,40,24000
2,25,45,25300
1,25,46,23500
1,25,40,40000
2,25,40,24500
1,25,40,5000
1,25,40,28000
2,26,0,0
2,26,20,2800
1,26,30,19200
2,26,20,8100
1,26,40,49000
1,26,40,26600
1,26,50,34000
1,26,0,0
2,26,32,19000
1,26,42,58200
1,26,40,25000
1,26,0,0
1,26,45,49500
1,26,40,25000
1,26,40,37000
1,26,40,20700
1,26,42,38000
1,26,40,36000
2,26,35,700
1,26,40,17000
1,26,60,29000
2,26,40,22500
2,26,3,360
2,26,48,27010
2,26,40,24000
1,26,60,65000
1,26,40,20000
1,26,42,11000
1,26,60,62000
1,26,70,8000
1,26,50,27000
1,26,40,7200
2,26,45,21000
2,26,45,48100
1,26,0,0
2,26,36,21360
1,26,40,14300
1,26,40,25900
1,26,50,52000
2,26,30,4000
1,26,99,19800
1,26,40,4400
2,26,0,20
2,26,0,5000
1,26,0,6200
2,26,40,29200
2,26,32,10000
1,26,45,33000
2,26,0,1200
2,26,0,0
1,26,32,9800
1,26,40,50000
1,26,20,9570
2,26,40,17000
1,26,30,13700
1,26,48,20000
1,26,40,18000
2,26,0,3400
2,27,0,4200
1,27,60,16600
2,27,40,12000
1,27,0,0
1,27,20,10000
1,27,40,33000
2,27,0,0
1,27,40,11000
2,27,0,0
2,27,0,0
1,27,40,12500
2,27,40,16000
1,27,0,0
1,27,50,38100
1,27,60,54000
1,27,50,17000
2,27,40,35000
1,27,20,3600
2,27,40,10800
1,27,50,40490
2,27,0,300
2,27,40,44000
2,27,25,9500
1,27,60,60000
2,27,16,16700
2,27,12,1600
1,27,20,8800
1,27,55,60000
1,27,40,20000
2,27,40,4
1,27,40,23400
2,27,40,22900
2,27,45,28000
1,27,40,31000
1,27,40,60000
2,27,50,25000
2,27,40,27000
2,27,6,3300
2,27,45,19300
1,27,40,40000
2,27,50,26000
2,27,36,16500
1,27,50,28000
2,27,40,22000
1,27,50,20000
2,27,40,17500
1,27,40,6000
1,27,40,35300
2,27,50,15000
1,27,40,39020
2,27,8,5300
2,27,40,29000
1,27,10,8000
1,27,0,3900
1,27,40,25000
2,27,40,3500
2,27,5,3500
1,27,48,27600
1,27,40,27000
2,27,40,2500
1,27,40,10000
2,27,35,9000
1,27,40,18000
1,27,40,64000
2,27,40,15900
1,27,40,21000
1,27,55,28800
1,27,40,13000
2,27,40,25000
2,27,40,32000
1,27,40,20800
2,27,21,3330
2,28,0,0
2,28,52,32000
2,28,40,680
2,28,0,7900
1,28,30,15000
1,28,48,24000
2,28,50,16000
2,28,40,30000
2,28,40,25000
1,28,40,24000
1,28,40,6000
1,28,0,20600
2,28,50,74000
2,28,38,1400
2,28,10,8000
1,28,40,12000
2,28,38,24840
1,28,40,37600
1,28,40,18200
2,28,40,21000
2,28,84,24000
1,28,0,6410
1,28,60,44300
1,28,0,0
2,28,60,20000
2,28,0,0
1,28,35,69300
2,28,0,630
2,28,40,23000
1,28,40,24400
1,28,40,22000
2,28,40,18000
2,28,0,0
2,28,40,30000
2,28,58,40000
1,28,42,23000
2,28,40,12800
2,28,45,31000
1,28,20,13000
1,28,50,27000
1,28,50,45900
1,28,40,7400
2,28,0,2400
2,28,40,5000
1,28,60,6000
2,28,43,30050
2,28,0,0
2,28,35,20000
1,28,50,77000
2,28,25,3500
1,28,40,30100
2,28,45,19800
1,28,40,46000
1,28,60,27900
2,28,40,30000
2,28,50,36300
1,28,40,6400
1,28,40,30000
2,28,40,42000
1,28,60,13500
2,28,32,25000
1,28,40,29500
1,28,40,20000
1,28,43,26000
2,28,45,18000
2,28,40,25000
1,28,0,0
1,28,40,17000
1,28,50,30010
2,28,40,27300
1,28,55,11010
2,28,20,970
