q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,Instructor
4,3,2,4,2,2,2,3,4,2,2,3,Kenny
5,5,1,5,1,1,1,5,5,1,1,5,Kenny
4,5,3,3,1,3,2,4,4,2,2,3,Kenny
4,4,2,5,1,1,2,4,5,1,1,3,Kenny
4,3,2,3,4,2,2,3,4,2,3,4,Kenny
4,4,2,3,2,2,2,4,5,1,1,4,Kenny
4,4,3,4,2,3,2,4,4,2,3,2,Kenny
2,3,4,3,2,2,4,3,2,5,4,2,Kenny
4,3,5,3,1,2,1,3,3,1,2,3,Kenny
4,4,2,5,1,2,2,3,4,1,1,3,Kenny
4,5,1,4,1,1,2,4,5,2,1,5,Kenny
4,4,2,3,2,3,3,4,3,2,3,3,Kenny
3,4,3,3,2,2,3,4,4,3,2,3,Kenny
3,3,2,3,NA,3,2,NA,5,2,4,3,Kenny
4,3,1,3,2,2,2,2,3,2,2,3,Kenny
4,4,3,4,4,2,2,3,3,2,2,3,Kenny
4,4,2,4,2,3,2,4,4,2,2,3,Kenny
4,4,3,4,2,3,2,4,3,2,2,3,Kenny
4,4,1,4,3,1,5,3,4,2,2,4,Kenny
4,4,2,4,2,3,2,3,4,2,2,3,Kenny
4,3,1,4,1,3,1,4,4,2,1,4,Kenny
3,4,3,3,2,3,3,4,3,3,2,4,SamH
2,3,2,4,2,5,2,3,4,2,3,3,SamH
4,3,2,3,2,3,2,3,4,2,2,4,SamH
4,4,2,4,4,1,1,5,5,1,3,5,SamH
4,5,1,5,1,1,1,4,5,1,1,5,SamH
4,4,2,3,2,3,2,5,5,1,1,3,SamH
4,4,2,4,2,2,2,4,4,2,1,4,SamH
5,5,3,3,1,3,2,4,3,1,1,3,SamH
4,4,3,4,3,4,2,4,4,2,2,4,SamH
4,4,2,4,2,3,2,3,4,2,3,2,SamH
4,2,2,3,2,3,2,2,3,2,2,3,SamH
4,3,1,5,1,1,1,3,2,1,1,5,SamH
3,2,2,3,2,2,2,3,4,2,2,4,SamH
4,4,3,2,3,3,2,3,4,2,2,3,SamH
2,2,3,4,3,4,2,3,3,3,3,3,SamH
4,3,2,3,3,4,2,3,2,2,2,3,SamH
2,3,4,2,2,4,4,2,4,4,2,1,SamH
4,3,3,3,2,3,2,3,3,2,3,3,SamH
4,4,3,3,2,3,2,3,3,2,3,3,SamH
4,4,3,4,1,3,2,4,4,2,2,4,SamH
4,4,3,4,2,3,3,3,3,3,2,2,SamH
5,5,2,5,1,1,1,4,5,1,1,5,SamH
3,4,1,4,1,1,1,4,5,1,1,3,SamH
4,4,2,3,2,3,2,3,3,2,2,3,SamH
5,4,2,4,4,1,1,4,5,1,1,5,SamH
3,4,4,4,2,2,1,3,5,2,2,4,SamH
4,4,1,4,1,3,2,4,4,2,1,4,SamH
3,4,2,4,2,2,2,4,4,3,2,4,SamH
4,4,2,3,2,3,2,3,4,2,2,3,SamH
3,3,3,4,2,3,2,4,2,2,2,2,SamH
5,5,2,4,NA,2,3,4,4,2,3,3,SamH
4,4,2,4,2,3,3,4,3,2,3,3,SamH
5,5,2,4,4,2,2,4,4,2,3,3,SamH
4,5,3,4,4,3,3,5,4,3,4,5,SamH
3,4,2,1,1,2,4,4,4,2,1,5,SamH
3,4,3,3,2,2,2,4,4,2,2,3,SamH
3,2,4,3,2,3,3,2,4,3,2,3,SamH
4,4,2,4,2,2,2,4,4,2,2,4,SamH
3,4,2,3,2,2,3,3,4,2,1,4,SamH
4,4,1,4,4,1,2,4,5,1,1,5,SamH
4,5,1,4,1,3,3,4,5,2,1,3,SamH
4,2,3,4,3,3,2,2,4,2,4,3,SamH
4,5,2,4,1,1,2,4,5,1,1,5,SamH
4,3,2,4,2,3,3,3,4,3,3,3,SamT
4,3,3,4,2,3,NA,4,4,2,2,3,SamT
4,4,3,3,3,4,3,3,3,4,3,3,SamT
5,4,3,3,2,3,2,4,4,2,2,4,SamT
5,5,5,5,1,1,1,5,5,3,1,5,SamT
4,4,3,4,2,2,2,3,4,2,2,4,SamT
4,3,2,3,1,3,2,3,4,2,2,4,SamT
4,3,2,3,1,3,2,4,4,2,2,4,SamT
4,4,3,4,2,3,2,4,4,2,2,3,SamT
4,4,1,4,1,2,1,3,5,1,1,4,SamT
4,4,2,4,2,2,2,4,4,2,2,4,SamT
4,3,2,3,3,2,2,3,3,2,2,3,SamT
4,4,2,4,2,4,2,3,4,2,2,3,SamT
4,4,2,4,1,2,1,4,5,2,2,4,SamT
4,3,3,3,1,4,2,3,3,2,2,3,SamT
2,4,1,2,4,2,3,4,4,3,2,4,SamT
4,4,4,4,4,2,2,4,4,1,1,4,SamT
4,4,2,4,2,2,2,4,4,3,2,3,SamT
5,4,2,4,4,3,5,4,3,4,3,2,SamT
3,3,2,4,2,1,3,4,5,2,1,5,SamT
5,5,3,4,4,3,1,4,4,2,1,3,SamT
5,4,2,5,1,2,2,4,5,2,1,4,SamT
3,3,5,3,2,4,3,3,4,4,2,1,SamT
5,5,1,5,5,1,1,5,4,2,1,4,SamT
5,4,2,3,1,2,1,4,3,1,1,4,SamT
4,5,1,2,2,3,2,5,5,4,2,3,SamT
5,5,2,5,2,2,2,5,4,2,2,4,SamT
3,4,2,3,NA,4,2,3,4,2,3,4,SamT
4,4,2,4,1,2,3,3,4,2,2,3,SamT
5,4,4,4,4,3,2,3,3,2,3,3,SamT
5,4,2,4,1,1,2,4,5,1,2,4,SamT
4,4,3,4,2,3,2,4,3,2,2,3,SamT
5,5,3,5,2,3,2,3,4,3,1,3,SamT
5,5,3,4,1,3,1,4,3,1,2,3,SamT
3,3,2,4,2,3,2,4,4,3,2,3,SamT
4,4,2,4,4,5,3,3,4,2,2,4,SamT
4,4,2,4,2,3,2,4,4,2,2,4,SamT
5,4,5,4,5,5,4,5,4,3,4,3,SamT
5,4,4,4,2,3,2,3,4,2,2,4,SamT
4,4,3,3,1,3,2,4,4,2,1,2,SamT
3,3,4,2,2,4,4,3,2,2,2,2,SamT
2,3,2,2,2,2,3,3,2,2,3,3,SamT
3,4,3,4,1,3,2,4,3,2,2,3,SamT
3,4,2,4,2,3,2,3,4,1,1,4,SamT
