"room.x","group","midterm","Final","project","hw1","hw1ol","hw2","hw2ol","hw3","hw3ol","hw4","hw4ol","hw5","hw5ol","hw6","hw6ol","hw7","midtermwgt","projectwgt","quizwgt","finalwgt","hw1perc","hw2perc","hw3perc","hw4perc","hw5perc","hw6perc","hw7perc","hw8perc","hw9perc","hw10perc","hw11perc","hw12perc","hw13perc","hwtotalwgt","lab1perc","lab2perc","lab3perc","lab4perc","lab5perc","lab6perc","lab7perc","lab8perc","lab9perc","lab10perc","lab12perc","lab13perc","lab14perc","labtotalwgt","studyhwtotal","studylabtotal","studyhwcompleted","studylabcompleted","Consent","room.y","Section","NewGroup","AppliedCI","ConfMC","AppliedHT","HypMC","NormalDist","Exam","AppliedComb","CIComb","MCComb","HTComb"
"sweeney","DS 3",67.5,75,52.5,9,9,0,19.57143,14.5,5,0,0,18,11,12,14,4,16.875,9.545454545,3.125,22.5,0.72,0.434920667,0.557142857,0,0.935483871,0.8125,0.4,0.461538462,0.892857143,0,0.7,0.318181818,0.875,9.69221566,0.966666667,0.96,0.966666667,0,0.9875,0.933333333,1,1,0.9,1,0.95,0.974358974,1,13.42315705,0.546740371,0.895271203,11,12,1,"Sweeney 1134","d",3,9,8,11,7,NA,75,20,17,15,18
"sweeney","CS 5",97,88,50,17,9,22.5,19.57143,25,9,30.5,10,20,11,14,17,10,24.25,9.090909091,5,26.4,1.04,0.934920667,0.971428571,0.880434783,1,0.96875,1,1,0.982142857,0.861111111,0.98,0.909090909,1,14.70863591,0.983333333,0.8,0.966666667,0.925,0.9,0.95,1.027777778,1,0.9,0,0.95,0.961538462,1,13.2053953,0.963682992,0.874178172,13,12,1,"Sweeney 1134","c",5,12,8,11,6,NA,88,23,20,14,17
"sweeney","DS 1",74,66,55,12.5,10,21.5,21,23.5,9,29.5,9,18,10,11.5,16,10,18.5,10,4.84375,19.8,0.9,0.944444444,0.928571429,0.836956522,0.903225806,0.859375,1,0.807692308,0.875,0.944444444,0.87,0.659090909,1,13.72093315,0.983333333,0.88,0.916666667,0.8625,0.9875,0.95,0.972222222,0.894736842,0.7,0,0.716666667,0.858974359,1,12.52825011,0.886830836,0.824815392,13,12,1,"Sweeney 1134","d",1,9,8,6,5,NA,66,15,17,13,11
"sweeney","DS 4",57.5,54,45.5,0,9,19,20,22,8,24.5,0,18,8,11,14,10,14.375,8.272727273,4.375,16.2,0.36,0.866666667,0.857142857,0.532608696,0.838709677,0.78125,1,0.692307692,0.946428571,0.861111111,0.92,0.772727273,1,13.00410525,0.833333333,0.72,0.95,0.8625,0.925,0.983333333,1,1,0.775,0.9625,0.716666667,0.871794872,1,12.70432692,0.802227119,0.892317554,13,13,1,"Sweeney 1134","d",4,8,4,8,4,NA,54,16,12,8,12
"sweeney","CS 4",72,61,46,17,9,15.3,21,20,9,26.5,5,17,10,10,14,10,18,8.363636364,5,18.3,1.04,0.806666667,0.828571429,0.684782609,0.870967742,0.75,1,0.076923077,0.732142857,0.388888889,0.74,0.818181818,1,12.64269971,0.983333333,0.74,0.85,0.6375,0.75,0.816666667,1,0,0.875,0.8,0.833333333,0.846153846,1,11.86810897,0.749009622,0.779383629,13,12,1,"Sweeney 1134","c",4,10,3,6,7,NA,61,16,13,10,13
"kildee","DK 6",48.5,67,48.6,9.5,9,16,20,21,9,0,0,20,11,11.5,17,8,12.125,8.836363636,3.75,20.1,0.74,0.8,0.857142857,0,1,0.890625,0.8,0.84,0.769230769,0.071428571,1,0.891304348,1,13.0749586,1,0.94,0.933333333,0.9875,0.95,0.966666667,1.055555556,0,1,0.9375,0.861111111,0.933333333,0,13.20625,0.743056273,0.812692308,12,11,1,"Kildee 0108","d",6,11,6,4,6,NA,67,15,17,12,10
"sweeney","DS 1",79,70,53.8,8,8,20.5,19.57143,19,7,11,0,19,8,13.5,18,10,19.75,9.781818182,4.84375,21,0.64,0.890476222,0.742857143,0.239130435,0.870967742,0.984375,1,0.923076923,0.857142857,0.861111111,0.28,0.318181818,1,12.39298475,0.983333333,0,0.916666667,0,0.9875,0.95,0.972222222,0.894736842,0.7,0.9375,0.716666667,0.858974359,1,12.39700011,0.739024558,0.762892315,13,11,1,"Sweeney 1134","d",1,8,8,9,6,NA,70,17,16,14,15
"kildee","DK 5",71.5,64,46,13.5,10,22,21,25,9,32.5,10,0,11,11.5,17,10,17.875,8.363636364,4.53125,19.2,0.94,0.955555556,0.971428571,0.923913043,0.35483871,0.890625,1,0.92,0.980769231,0,1,0.695652174,1,14.0153776,0.933333333,0.78,0.95,0.7375,0.8,0.883333333,1,0,1,0.75,0.805555556,0,1,13.21631944,0.81790633,0.736388889,12,11,1,"Kildee 0108","d",5,11,6,9,1,NA,64,20,17,7,10
"sweeney","DS 6",76,73,52.5,10.5,10,21.5,18.14286,25,9,29,10,20,11,12.5,18,10,19,9.545454545,5,21.9,0.82,0.880952444,0.971428571,0.847826087,1,0.953125,1,1,0.857142857,1,0.96,0.772727273,1,14.2779204,0.933333333,0.78,0,0.7375,0.8,0.883333333,0,1,0.925,0.95,0.933333333,0.961538462,0,11.13004808,0.927938633,0.684926036,13,10,1,"Sweeney 1134","d",6,10,8,6,6,NA,73,16,18,14,12
"sweeney","DS 2",83,82,45.25,0,10,22,21,23,9,32.5,9,20,11,11,17,10,20.75,8.227272727,5,24.6,0.4,0.955555556,0.914285714,0.902173913,1,0.875,1,0.846153846,0.892857143,0.555555556,0.9,0,0,12.6021569,0.8,0.84,0,0.8125,0.9,0.966666667,1.055555556,1,0.875,1,0.983333333,0.91025641,0,12.67913996,0.710890902,0.780254767,11,11,1,"Sweeney 1134","d",2,11,10,8,7,NA,82,19,21,17,15
"sweeney","DS 1",88,73,53.8,15.5,10,21.5,21,22,9,33.5,6,19,11,0,13,10,22,9.781818182,5,21.9,1.02,0.944444444,0.885714286,0.858695652,0.967741935,0.40625,1,0.076923077,0.892857143,0.5,0.66,0.704545455,1,12.86454398,0.983333333,0.88,0.916666667,0.8625,0.9875,0.95,0.972222222,0.894736842,0.7,0.9375,0.716666667,0.858974359,1,12.80429178,0.762859384,0.896930776,13,13,1,"Sweeney 1134","d",1,11,4,11,6,NA,73,22,15,10,17
"sweeney","DS 2",68.5,64,44.2,13.5,9,17,18,23,8,16.5,5,20,10,13,16,10,17.125,8.036363636,5,19.2,0.9,0.777777778,0.885714286,0.467391304,0.967741935,0.90625,1,1,0.321428571,1,0.9,0.840909091,1,13.87962694,0.8,0.84,0.95,0.8125,0.9,0.966666667,1.055555556,1,0.875,1,0,0.91025641,1,12.88747329,0.843631767,0.854613741,13,12,1,"Sweeney 1134","d",2,10,7,9,5,NA,64,19,17,12,14
"sweeney","DS 5",85,81,51.5,12,10,22,21,24,9,32.5,10,20,9,14,18,10,21.25,9.363636364,4.53125,24.3,0.88,0.955555556,0.942857143,0.923913043,0.935483871,1,1,0,0.910714286,0.944444444,0.99,0.840909091,0,14.07801468,0.883333333,0.64,0.916666667,0.875,0.9625,0.933333333,0.944444444,1,0.95,0.9625,0.933333333,0.948717949,1,13.04353632,0.794144418,0.91921762,11,13,1,"Sweeney 1134","d",5,11,8,11,6,NA,81,22,19,14,17
"kildee","DK 5",95.5,91,46,15,9,19,19.57143,23,9,24.5,10,20,11,11.5,17,10,23.875,8.363636364,5,27.3,0.96,0.857142889,0.914285714,0.75,1,0.890625,1,0.94,0.942307692,0.964285714,1,0.891304348,1,14.32201155,0.933333333,0.78,0.95,0.7375,0.8,0.883333333,1,0.875,1,0.75,0.805555556,0.95,1,13.63819444,0.93153472,0.876773504,13,13,1,"Kildee 0108","d",5,12,9,11,7,NA,91,23,21,16,18
"kildee","CK 5",55,40,45.25,12,9,13,18.14286,25,7,0,0,17,6,7.5,7,8,13.75,8.227272727,5,12,0.84,0.692063556,0.914285714,0,0.741935484,0.453125,0.8,0.78,0,0,0.9,0,0,8.347376937,1,0.84,0.916666667,0.8,0.9125,0.933333333,1.027777778,0,1,0,0.902777778,1,1,14.14548611,0.470877673,0.793568376,8,11,1,"Kildee 0108","c",5,3,3,1,5,NA,40,4,6,8,6
"kildee","DK 4",65,54,50.5,0,8,21,21,13.5,9,22,7,19,9,9,16,10,16.25,9.181818182,5,16.2,0.32,0.933333333,0.642857143,0.630434783,0.903225806,0.78125,1,0,0,0.392857143,0.6,0.673913043,1,10.74255171,0.85,0.72,0.95,0.8625,0,0.983333333,1,0.875,0.983333333,0.875,0.861111111,0.966666667,1,13.96701389,0.605990096,0.837970085,11,12,1,"Kildee 0108","d",4,11,4,8,5,NA,54,19,15,9,13
