"room.x","group","midterm","Final","project","hw1","hw1ol","hw2","hw2ol","hw3","hw3ol","hw4","hw4ol","hw5","hw5ol","hw6","hw6ol","hw7","midtermwgt","projectwgt","quizwgt","finalwgt","hw1perc","hw2perc","hw3perc","hw4perc","hw5perc","hw6perc","hw7perc","hw8perc","hw9perc","hw10perc","hw11perc","hw12perc","hw13perc","hwtotalwgt","lab1perc","lab2perc","lab3perc","lab4perc","lab5perc","lab6perc","lab7perc","lab8perc","lab9perc","lab10perc","lab12perc","lab13perc","lab14perc","labtotalwgt","studyhwtotal","studylabtotal","studyhwcompleted","studylabcompleted","Consent","room.y","Section","NewGroup","AppliedCI","ConfMC","AppliedHT","HypMC","NormalDist","Exam","AppliedComb","CIComb","MCComb","HTComb"
"sweeney","DS 7",76,0,51.5,9,10,0,18.57143,24,9,17.5,7,17,9,12.5,16,10,19,9.363636364,5,0,0.76,0.412698444,0.942857143,0.532608696,0.838709677,0.890625,1,0,0,0,0,0,0,7.332953128,0.916666667,0.76,0.916666667,0.9,0.9375,0.866666667,0.944444444,0,0,0.9875,0.933333333,0,0,10.20347222,0.413653766,0.627905983,7,9,1,"Sweeney 1134","d",7,0,0,0,0,NA,0,0,0,0,0
"kildee","CK 1",73.5,75,51,14,10,18.5,19.57143,19,7,17,5,20,10,0,0,10,18.375,9.272727273,4.375,22.5,0.96,0.846031778,0.742857143,0.47826087,0.967741935,0,1,0.9,0.942307692,0.625,0.1,0.815217391,0,11.42375019,1,0.9,0,0.9,0.95,0.966666667,1.055555556,0.9375,0.883333333,0.9375,0.805555556,0.983333333,1,14.37152778,0.644416678,0.869444444,11,12,1,"Kildee 0108","c",1,11,7,10,6,NA,75,21,18,13,16
"sweeney","CS 4",74,60,45.4,12.5,8,15.3,16.71429,15,1,19.5,3,15,8,8.5,15,10,18.5,8.254545455,5,18,0.82,0.711428667,0.457142857,0.489130435,0.741935484,0.734375,1,0.346153846,0.839285714,0.472222222,0.49,0.795454545,1,11.03704373,0.983333333,0.74,0.85,0.6375,0.75,0.816666667,1,1,0.875,0.8,0.833333333,0.846153846,1,12.19310897,0.684394521,0.856306706,13,13,1,"Sweeney 1134","c",4,11,4,11,5,NA,60,22,15,9,16
"kildee","DK 3",91,87,53.25,14,10,0,21,23,9,30.5,10,19,11,12,18,10,22.75,9.681818182,3.75,26.1,0.96,0.466666667,0.914285714,0.880434783,0.967741935,0.9375,1,1,0,0.910714286,0.9,1,1,14.27819552,0.766666667,0.86,0.95,0.7375,0.975,0.933333333,0.833333333,0.875,0.983333333,0.708333333,0.847222222,0.966666667,1,13.59236111,0.841334107,0.870747863,12,13,1,"Kildee 0108","d",3,11,9,11,7,NA,87,22,20,16,18
"kildee","DK 4",80.5,73,51,13,10,19.5,21,17,9,33,10,20,8,10,14,10,20.125,9.272727273,5,21.9,0.92,0.9,0.742857143,0.934782609,0.903225806,0.75,1,0.92,0.942307692,0.857142857,0.8,1,1,13.87835313,0.85,0.72,0.95,0,0.925,0.983333333,1,0.875,0.983333333,0.875,0.861111111,0.966666667,1,14.04513889,0.897716624,0.842777778,13,12,1,"Kildee 0108","d",4,11,8,9,5,NA,73,20,19,13,14
"sweeney","DS 3",85.5,84,54,14.5,10,0,21,19,9,27,10,20,11,0,17,10,21.375,9.818181818,3.75,25.2,0.98,0.466666667,0.8,0.804347826,1,0.53125,1,0.692307692,0.928571429,1,0.32,0.727272727,0,12.17784046,0.966666667,0.96,0.966666667,0.9875,0.9875,0.933333333,1,1,0.9,1,0,0,0,12.12708333,0.711570488,0.746282051,12,10,1,"Sweeney 1134","d",3,10,8,10,7,NA,84,20,18,15,17
"sweeney","CS 2",95.5,86,53.8,16,10,20.5,21,24,9,33.5,10,20,11,13,18,0,23.875,9.781818182,5,25.8,1.04,0.922222222,0.942857143,0.945652174,1,0.96875,0,1,0.928571429,0.972222222,1,0.954545455,1,14.66263421,1,0.8,0.95,0.9625,0.9375,0.95,1.055555556,1,0.9,0.95,0.983333333,0.961538462,1,13.43803419,0.898063126,0.957725181,12,13,1,"Sweeney 1134","c",2,12,8,11,7,NA,86,23,20,15,18
"sweeney","DS 3",66.5,54,52.5,9.5,10,19.5,15.57143,26,0,21,4,17,10,13.5,0,10,16.625,9.545454545,5,16.2,0.78,0.779365111,0.742857143,0.543478261,0.870967742,0.421875,1,0,0.839285714,0,0.81,0.704545455,0.75,11.23960149,0.966666667,0.96,0.966666667,0.9875,0,0.933333333,1,1,0.9,1,0.95,0,1,13.33020833,0.634028802,0.820320513,11,11,1,"Sweeney 1134","d",3,10,3,6,3,NA,54,16,13,6,9
"kildee","CK 5",62,78,47,11,10,19,21,22,7,28,10,16,10,12.5,17,10,15.5,8.545454545,5,23.4,0.84,0.888888889,0.828571429,0.826086957,0.838709677,0.921875,1,1,0.961538462,0.803571429,1,0.956521739,1,13.95832527,0.983333333,0.74,0.85,0.6375,0.75,0.816666667,1,0.9375,1,0.895833333,0.902777778,1,1,13.89930556,0.912751045,0.884380342,13,13,1,"Kildee 0108","c",5,11,6,11,6,NA,78,22,17,12,17
"kildee","DK 2",66.5,73,48,0,9,0,0,0,7,13.95,4,19,11,8.5,15,10,16.625,8.727272727,4.6875,21.9,0.36,0,0.2,0.390217391,0.967741935,0.734375,1,0.78,0.384615385,0.514285714,0.5,0.65,0.888888889,9.777442247,0.85,0.9,0.883333333,0.9375,0.85,0.883333333,1.055555556,0.875,1,0.875,0.888888889,0.9,1,13.81076389,0.56693264,0.903739316,12,13,1,"Kildee 0108","d",2,12,9,8,4,NA,73,20,21,13,12
"kildee","CK 2",72.5,64,47,13,10,21.5,21,23,9,31.5,10,20,11,13.5,18,10,18.125,8.545454545,5,19.2,0.92,0.944444444,0.914285714,0.902173913,1,0.984375,1,0.98,0.942307692,0.821428571,1,0.913043478,1,14.45244045,0,0.9,1,0.95,0.9625,1,1.111111111,0.96875,0.966666667,0.875,0.958333333,0.95,1,14.62586806,0.947850678,0.890438034,13,12,1,"Kildee 0108","c",2,10,8,7,3,NA,64,17,18,11,10
"kildee","CK 5",89,88,47,12.5,10,24,21,26,9,33,10,20,11,13,18,10,22.25,8.545454545,5,26.4,0.9,1,1,0.934782609,1,0.96875,1,1,0.980769231,0.982142857,1,1,1,14.90681194,0.983333333,0.8,0.966666667,0.925,0.9,0.95,1.027777778,0.9375,1,0.895833333,0.902777778,1,1,14.47048611,0.982034207,0.944017094,13,13,1,"Kildee 0108","c",5,12,7,11,8,NA,88,23,19,15,19
"kildee","DK 6",86.5,78,46.6,15,10,18.5,19.57143,26,9,30.5,7,20,11,12.5,18,10,21.625,8.472727273,5,23.4,1,0.846031778,1,0.815217391,1,0.953125,1,0.9,0.980769231,0.892857143,0.8,0.826086957,0.888888889,14.02876227,0.983333333,0.88,1,0.9875,0,0.866666667,0,0.9375,1,0.9375,0.972222222,0.933333333,1,14.24756944,0.915613568,0.799850427,13,11,1,"Kildee 0108","d",6,11,7,9,6,NA,78,20,18,13,15
"sweeney","CS 2",92.5,78,53.8,17,10,23.5,21,20,7,35.5,10,18,11,13.5,18,10,23.125,9.781818182,5,23.4,1.08,0.988888889,0.771428571,0.989130435,0.935483871,0.984375,1,0.115384615,0.982142857,0.833333333,0.98,0.863636364,1,14.50498738,1,0.9,1,0.95,0.9625,1,1.111111111,1,0.9,0.95,0,0.961538462,1,13.54393697,0.886446457,0.902703813,13,12,1,"Sweeney 1134","c",2,10,5,11,7,NA,78,21,15,12,18
"kildee","DK 7",92,83,42,14.5,10,23.5,21,21,7,34.5,10,20,10,12,18,10,23,7.636363636,5,24.9,0.98,0.988888889,0.8,0.967391304,0.967741935,0.9375,1,1,1,0.982142857,0.9,0.77173913,1,14.62317953,0.916666667,0.76,0.916666667,0.9,0.9375,0.866666667,0.944444444,1,0.9,0.958333333,0.819444444,0.916666667,1,13.84548611,0.945800317,0.895106838,13,13,1,"Kildee 0108","d",7,11,8,10,7,NA,83,21,19,15,17
"kildee","DK 4",95,86,45.75,0,10,23,21,23,9,35,10,14,11,11.5,18,10,23.75,8.318181818,5,25.8,0.4,0.977777778,0.914285714,0.97826087,0.806451613,0.921875,1,0.98,0,0.892857143,1,0.173913043,0,12.33466522,0.85,0,0.95,0.8625,0.925,0.983333333,1,0.875,0.983333333,0.875,0.861111111,0,1,13.91493056,0.695801628,0.779380342,11,11,1,"Kildee 0108","d",4,11,6,11,8,NA,86,22,17,14,19
"sweeney","CS 5",44,74,48.8,0,0,19.5,20,17,8,24,2,18,8,9.5,17,10,11,8.872727273,5,22.2,0,0.877777778,0.714285714,0.565217391,0.838709677,0.828125,1,0,0.946428571,0.75,0.83,0.75,0.25,11.38710563,0.983333333,0.8,0.966666667,0.925,0.9,0.95,1.027777778,0,0.9,0.9875,0.95,0.961538462,0,12.9397703,0.642349549,0.796293557,11,11,1,"Sweeney 1134","c",5,11,6,8,7,NA,74,19,17,13,15
"sweeney","CS 3",91.5,75,52.3,14,10,22,21,26,9,32,10,19,10,9,16,10,22.875,9.509090909,5,22.5,0.96,0.955555556,1,0.913043478,0.935483871,0.78125,1,0.846153846,0.892857143,0.861111111,0.84,0.636363636,1,13.91482501,0.95,0.82,0.916666667,0.8125,0.9,0,0.833333333,1,0.925,0.9875,0.966666667,0.948717949,1,12.80985577,0.893986049,0.850798817,13,12,1,"Sweeney 1134","c",3,10,7,9,5,NA,75,19,17,12,14
"sweeney","DS 4",61,63,45.5,10.5,8,19.5,21,21.5,5,21.5,6,16,9,8,13,10,15.25,8.272727273,5,18.9,0.74,0.9,0.757142857,0.597826087,0.806451613,0.65625,1,0.769230769,0.857142857,0.888888889,0.85,0.772727273,1,12.73852399,0.766666667,0.86,0.95,0.7375,0.975,0.933333333,0.833333333,1,0.775,0.9625,0.716666667,0.871794872,1,12.40953526,0.815050796,0.875522682,13,13,1,"Sweeney 1134","d",4,8,4,7,5,NA,63,15,12,9,12
"kildee","CK 6",80.5,67,45.75,12,10,0,0,23,9,30,8,19,11,0,14,10,20.125,8.318181818,5,20.1,0.88,0,0.914285714,0.826086957,0.967741935,0.4375,1,0.96,0.903846154,0.678571429,1,0.608695652,0.888888889,13.12925009,0.95,0.94,0.933333333,0.875,0.9,0.916666667,1.111111111,1,0.866666667,0.958333333,0.888888889,0.966666667,0,14.27916667,0.77427821,0.945384615,12,12,1,"Kildee 0108","c",6,8,8,2,7,NA,67,10,16,15,9
"sweeney","CS 3",85,82,52.3,15,10,19.5,20,23,4,25.5,9,19,10,12,17,10,21.25,9.509090909,5,24.6,1,0.877777778,0.771428571,0.75,0.935483871,0.90625,1,0.769230769,0.857142857,0.777777778,0.88,0.818181818,1,13.39642183,0.95,0.82,0.916666667,0.8125,0.9,0.866666667,0.833333333,1,0.925,0.9875,0.966666667,0.948717949,1,12.8681891,0.872559496,0.917465483,13,13,1,"Sweeney 1134","c",3,11,9,11,3,NA,82,22,20,12,14
"kildee","DK 7",67,78,41.5,6.75,9,16,20,14,9,13.5,5,13,8,10,12,10,16.75,7.545454545,3.4375,23.4,0.63,0.8,0.657142857,0.402173913,0.677419355,0.6875,1,0,0.846153846,0.410714286,0,0.804347826,1,10.79379829,0.916666667,0.76,0.916666667,0.9,0.9375,0.866666667,0.944444444,0,0.9,0.958333333,0.819444444,0.916666667,1,13.59548611,0.608880929,0.818183761,11,12,1,"Kildee 0108","d",7,12,8,10,6,NA,78,22,20,14,16
"kildee","CK 4",60.5,57,49,10,7,18.5,21,21,9,29,5,16,9,10.5,16,10,15.125,8.909090909,5,17.1,0.68,0.877777778,0.857142857,0.739130435,0.806451613,0.828125,1,0.92,0.942307692,0.767857143,1,0.804347826,0.333333333,13.0133732,0.983333333,0.92,0.883333333,0.8125,0.875,0.883333333,1,1,1,0.958333333,0.972222222,0.983333333,1,14.43819444,0.812036437,0.941388889,13,13,1,"Kildee 0108","c",4,9,6,10,5,NA,57,19,15,11,15
"sweeney","CS 1",86.5,70,52.25,0,10,18,21,24,9,34.5,10,0,9,11.5,18,10,21.625,9.5,4.6875,21,0.4,0.866666667,0.942857143,0.967391304,0.290322581,0.921875,1,0.384615385,0.892857143,0.666666667,0.77,0.863636364,1,12.6708413,0,0.9,0.966666667,0.85,0,0,1.055555556,1,0.925,1,0.933333333,0.974358974,1,12.00614316,0.766683712,0.738839579,13,10,1,"Sweeney 1134","c",1,12,5,11,3,NA,70,23,17,8,14
"sweeney","DS 7",96,82,53,17,10,22,21,25,9,0,0,0,0,0,0,0,24,9.636363636,3.75,24.6,1.08,0.955555556,0.971428571,0,0,0,0,0.615384615,0.964285714,0,0,0,1,7.618165168,1,0.94,0.933333333,0.9875,0.95,0,1.055555556,0,1,0.9875,0.933333333,0.987179487,1,13.46800214,0.429742651,0.828800131,6,11,1,"Sweeney 1134","d",7,9,6,11,7,NA,82,20,15,13,18
"sweeney","DS 2",84,76,45,16,10,21.5,21,22,9,34,10,20,10,12,18,10,21,8.181818182,5,22.8,1.04,0.944444444,0.885714286,0.956521739,0.967741935,0.9375,1,1,0.910714286,0.944444444,0.92,0.931818182,1,14.51246011,0.983333333,0.84,0.983333333,0.8125,0.9875,0.933333333,1.055555556,0,0.875,1,0.983333333,0.91025641,1,13.18955662,0.956838409,0.874165023,13,12,1,"Sweeney 1134","d",2,9,8,9,8,NA,76,18,17,16,17
"kildee","DK 2",55.5,71,48,16.5,9,18.5,21,0,3,25.2,5,18,9,8,16,4,13.875,8.727272727,4.84375,21.3,1.02,0.877777778,0.085714286,0.656521739,0.870967742,0.75,0.4,0.8,0.788461538,0.875,1,0.934782609,1,13.05478828,0.983333333,0.84,0.983333333,0.8125,0.9875,0,1.055555556,0,1,0.875,0.888888889,0.9,0,12.72013889,0.773786592,0.782777778,13,10,1,"Kildee 0108","d",2,9,7,10,8,NA,71,19,16,15,18
"kildee","CK 6",45.5,62,43,7,9,17,21,24,9,15,8,18,8,7.5,13,10,11.375,7.818181818,5,18.6,0.64,0.844444444,0.942857143,0.5,0.838709677,0.640625,1,0.96,0.903846154,0.071428571,1,0.782608696,1,13.02694243,0.95,0.94,0.933333333,0.875,0.9,0.916666667,1.111111111,1,0.866666667,0.958333333,0.888888889,0.966666667,1,14.43541667,0.778809207,0.945384615,13,13,1,"Kildee 0108","c",6,11,7,7,5,NA,62,18,18,12,12
"kildee","DK 6",74.5,89,48.6,11.5,10,0,21,25,9,36,10,20,11,11.5,18,10,18.625,8.836363636,5,26.7,0.86,0.466666667,0.971428571,1,1,0.921875,1,0.94,0.923076923,0.928571429,1,0.913043478,1,14.45181191,1,0,0.933333333,0.9875,0.95,0.966666667,1.055555556,0.9375,1,0.9375,0.861111111,0.933333333,1,14.50173611,0.917281698,0.881730769,13,12,1,"Kildee 0108","d",6,11,9,11,9,NA,89,22,20,18,20
"kildee","DK 6",74,66,48.8,12.5,10,20,21,23,9,32,10,19,9,13,18,10,18.5,8.872727273,5,19.8,0.9,0.911111111,0.914285714,0.913043478,0.903225806,0.96875,1,0.92,0.942307692,0.821428571,1,0.97826087,1,14.25134273,0.983333333,0.88,1,0.8975,0.975,0.866666667,1.055555556,0.9375,1,0.9375,0.861111111,0.933333333,1,14.37465278,0.93633948,0.940576923,13,13,1,"Kildee 0108","d",6,10,7,6,3,NA,66,16,17,10,9
"sweeney","CS 5",57.5,59,21,10,9,0,0,23,9,0,0,17,0,0,0,10,14.375,3.818181818,3.59375,17.7,0.76,0,0.914285714,0,0.548387097,0,1,0,0,0,0,0,0,4.394553833,1,0.84,0,0.8,0.9125,0.933333333,1.027777778,0,0,0.9875,0,0,0,8.126388889,0.247897909,0.50008547,4,7,1,"Sweeney 1134","c",5,9,7,4,5,NA,59,13,16,12,9
"kildee","CK 1",90.5,86,51,15.5,10,21,21,25,9,35.5,8,20,9,14,16,10,22.625,9.272727273,5,25.8,1.02,0.933333333,0.971428571,0.945652174,0.935483871,0.9375,1,0.98,0.865384615,0.928571429,0.9,0.945652174,0.777777778,14.31493848,1,0,0.95,0.9,0.95,0.966666667,0,0,0.883333333,0.9375,0.805555556,0.983333333,1,12.94965278,0.933906457,0.719978632,13,10,1,"Kildee 0108","c",1,11,9,8,9,NA,86,19,20,18,17
"kildee","CK 3",56.5,66,53,15,10,21.5,21,25,9,32.5,10,18,7,11.5,17,10,14.125,9.636363636,5,19.8,1,0.944444444,0.971428571,0.923913043,0.806451613,0.890625,1,0.9,0.384615385,0.071428571,1,0.902173913,1,14.09868625,0.95,0.82,0.916666667,0.8125,0.9,0.866666667,0.833333333,0,0.95,0.895833333,0.875,0.933333333,1,13.44166667,0.830390811,0.75025641,13,12,1,"Kildee 0108","c",3,11,8,7,3,NA,66,18,19,11,10
"kildee","DK 2",81,65,48,11.5,9,0,0,23,9,33.5,9,20,11,12,16,10,20.25,8.727272727,5,19.5,0.82,0,0.914285714,0.923913043,1,0.875,1,0.96,0,0,0.2,0.913043478,0.777777778,11.43275456,0.85,0.9,0.883333333,0.9375,0.85,0.883333333,1.055555556,0.875,1,0.875,0.888888889,0.9,1,13.81076389,0.644924616,0.903739316,10,13,1,"Kildee 0108","d",2,11,6,8,6,NA,65,19,17,12,14
"kildee","CK 1",92,82,48.25,15,10,0,21,25,9,30,10,0,11,0,0,10,23,8.772727273,3.125,24.6,1,0.466666667,0.971428571,0.869565217,0.35483871,0,1,1,0.980769231,0,0.9,0.967391304,1,12.96908141,1,0.9,0,0,0.95,0.966666667,0,0.9375,0.883333333,0.9375,0,0.983333333,1,11.92708333,0.731589208,0.657051282,11,9,1,"Kildee 0108","c",1,12,9,11,6,NA,82,23,21,15,17
"kildee","CK 5",63,48,44.75,15,10,24,21,26,9,31.5,10,19,11,13,18,10,15.75,8.136363636,5,14.4,1,1,1,0.902173913,0.967741935,0.96875,1,0.94,0.980769231,0.910714286,1,1,1,14.80535614,0.983333333,0.8,0.966666667,0.925,0.9,0.95,0,0.9375,1,0.895833333,0.902777778,1,1,14.30555556,0.974626874,0.864957265,13,12,1,"Kildee 0108","c",5,4,7,8,5,NA,48,12,11,12,13
"kildee","CK 6",72.5,68,47.5,12,10,21.5,21,18,7,26,7,20,8,9,14,10,18.125,8.636363636,5,20.4,0.88,0.944444444,0.714285714,0.717391304,0.903225806,0.71875,1,0.98,0.942307692,0.964285714,0.8,0.782608696,0.666666667,13.13592771,0.983333333,0.86,0.916666667,0.7875,0.9,0.916666667,1.027777778,1,0.866666667,0.958333333,0.888888889,0.966666667,1,14.26041667,0.847228157,0.927371795,13,13,1,"Kildee 0108","c",6,11,7,11,3,NA,68,22,18,10,14
"sweeney","CS 2",79.5,70,55,17,10,0,21,23,9,35,10,14,11,13.5,18,10,19.875,10,4.375,21,1.08,0.466666667,0.914285714,0.97826087,0.806451613,0.984375,1,1,0.875,0.833333333,0.89,0.954545455,1,14.33154596,1,0.8,0.95,0.9625,0.9375,0.95,1.055555556,1,0.9,0,0.983333333,0.961538462,1,13.37553419,0.906378358,0.884648258,13,12,1,"Sweeney 1134","c",2,10,8,7,5,NA,70,17,18,13,12
"kildee","DK 3",78.5,67,54,12,10,18.5,21,21,9,32,10,17,10,13.5,18,10,19.625,9.818181818,5,20.1,0.88,0.877777778,0.857142857,0.913043478,0.870967742,0.984375,1,0.9,0.980769231,0.660714286,1,0.945652174,1,14.11716191,0.8,0.84,0.95,0.8125,0.9,0.966666667,1.055555556,0.875,0.983333333,0.708333333,0.847222222,0.966666667,1,13.85034722,0.913110965,0.891431624,13,13,1,"Kildee 0108","d",3,10,6,11,2,NA,67,21,16,8,13
"kildee","DK 7",35,38,41.25,15,10,23.5,21,25,9,30.5,9,19,10,13,18,10,8.75,7.5,5,11.4,1,0.988888889,0.971428571,0.858695652,0.935483871,0.96875,1,0.88,0.980769231,0.946428571,0.8,0.97826087,0.888888889,14.37122576,0.916666667,0.76,0.916666667,0.9,0.9375,0.866666667,0.944444444,1,0.9,0.958333333,0.819444444,0.916666667,1,13.84548611,0.938276503,0.895106838,13,13,1,"Kildee 0108","d",7,1,7,2,3,NA,38,3,8,10,5
"sweeney","CS 3",71,70,52.3,12,10,22,16.14286,25,9,24.5,5,18,10,10.5,13,10,17.75,9.509090909,5,21,0.88,0.847619111,0.971428571,0.641304348,0.903225806,0.734375,1,1,0.839285714,0.916666667,0.82,0.909090909,1,13.75543197,0.983333333,0.92,0.883333333,0.8125,0.875,0.883333333,1,1,0,0.9875,0.966666667,0.948717949,1,13.05985577,0.881768933,0.866183432,13,12,1,"Sweeney 1134","c",3,11,8,5,2,NA,70,16,19,10,7
"kildee","DK 4",44,55,49.75,11,8,17.5,21,17.5,7,0,0,17,9,8,11,10,11,9.045454545,1.875,16.5,0.76,0.855555556,0.7,0,0.838709677,0.59375,1,0.662,0.557692308,0.535714286,0.5,0.25,0,9.891029763,0,0,0.916666667,0.8625,0,0.983333333,1,0,0.983333333,0.875,0.861111111,0,1,10.56076389,0.557955525,0.572970085,11,8,1,"Kildee 0108","d",4,11,5,6,6,NA,55,17,16,11,12
"sweeney","CS 1",75,59,51.6,12,10,20,21,25,9,33,10,20,11,13.5,18,10,18.75,9.381818182,5,17.7,0.88,0.911111111,0.971428571,0.934782609,1,0.984375,1,1,1,1,0.96,0.818181818,1,14.67504176,0.983333333,0.9,0,0.85,0.9,0.9,0,1,0.925,1,0.933333333,0.974358974,0,11.70753205,0.958452239,0.720463511,13,10,1,"Sweeney 1134","c",1,11,6,11,3,NA,59,22,17,9,14
"kildee","DK 3",88,80,54,0,10,23,18.57143,24,9,29.5,4,18,10,12.5,18,10,22,9.818181818,4.6875,24,0.4,0.923809556,0.942857143,0.72826087,0.903225806,0.953125,1,0.9,0.923076923,0.964285714,1,0.945652174,1,14.25822589,0.766666667,0.86,0.95,0.7375,0.975,0.933333333,0.833333333,0.875,0,0.708333333,0.847222222,0.966666667,1,13.28506944,0.891099476,0.795106838,13,12,1,"Kildee 0108","d",3,11,8,10,7,NA,80,21,19,15,17
"sweeney","DS 7",74,68,54,13.5,10,0,0,25,9,34.5,0,18,10,0,16,0,18.5,9.818181818,4.375,20.4,0.94,0,0.971428571,0.75,0.903225806,0.5,0,0.230769231,0.285714286,0.416666667,0,0,0,6.815188038,1,0,0.933333333,0.9875,0,0.966666667,0,0,1,0.9875,0.933333333,0.987179487,1,10.99439103,0.384446505,0.676577909,8,9,1,"Sweeney 1134","d",7,10,6,8,5,NA,68,18,16,11,13
"sweeney","CS 5",87.5,75,50,16,10,23.5,21,22,9,31.5,10,19,11,12,18,10,21.875,9.090909091,5,22.5,1.04,0.988888889,0.885714286,0.902173913,0.967741935,0.9375,1,1,0.964285714,1,0.95,0.886363636,0.875,14.50493739,1,0.84,0.916666667,0.8,0.9125,0,1.027777778,1,0.9,0.9875,0.95,0.961538462,1,13.11997863,0.953666798,0.868921762,13,12,1,"Sweeney 1134","c",5,10,5,11,6,NA,75,21,15,11,17
"kildee","CK 4",87,81,49.75,11.5,9,20,21,18,9,33,10,18,9,12,16,10,21.75,9.045454545,5,24.3,0.82,0.911111111,0.771428571,0.934782609,0.870967742,0.875,1,0.98,0.980769231,0.821428571,1,1,1,14.14644445,0.983333333,0.92,0.883333333,0.8125,0.875,0.883333333,1,1,1,0.958333333,0.972222222,0.983333333,1,14.43819444,0.920422141,0.941388889,13,13,1,"Kildee 0108","c",4,10,8,11,6,NA,81,21,18,14,17
"sweeney","CS 4",54.5,48,46.8,11,8,21,21,19,4,8,3,16,10,9,8,10,13.625,8.509090909,5,14.4,0.76,0.933333333,0.657142857,0.239130435,0.838709677,0.53125,1,0.076923077,0.875,0.444444444,0.46,0.954545455,0.5,10.84694423,0.983333333,0.74,0.85,0.6375,0.75,0.816666667,1,1,0.875,0.8,0.833333333,0.846153846,1,12.19310897,0.636190714,0.856306706,13,13,1,"Sweeney 1134","c",4,7,6,5,5,NA,48,12,13,11,10
"sweeney","DS 6",41.5,66,54,14.5,8,19.5,21,0,9,18.5,7,17,9,11,16,10,10.375,9.818181818,5,19.8,0.9,0.9,0.257142857,0.554347826,0.838709677,0.84375,1,0.692307692,0.928571429,0.75,0.9,0.75,0.375,12.35139085,0.883333333,0.64,0.916666667,0.875,0.9625,0.933333333,0.944444444,0,0.925,0.95,0.933333333,0.961538462,1,12.85643697,0.745371499,0.840396121,13,12,1,"Sweeney 1134","d",6,12,7,3,6,NA,66,15,19,13,9
"kildee","DK 5",68,60,46,5.5,8,0,21,12,9,26,7,17.1,9,8.5,14,10,17,8.363636364,5,18,0.54,0.466666667,0.6,0.717391304,0.841935484,0.703125,1,0.7,0,0,0,0,0.777777778,8.654858499,0.883333333,0.64,0.916666667,0.875,0,0.933333333,0.944444444,0.875,1,0.75,0.805555556,0.95,1,13.58333333,0.488222787,0.808205128,9,12,1,"Kildee 0108","d",5,5,6,3,6,NA,60,8,11,12,9
