"originx","originy","widthx","widthy","totalSpatialLoss","bintype","distrib","binTime"
0,0,2,2,76472.6240033703,"standard","Uniform",0.694039106369019
0,0,2,2,99173.8867359404,"random","Uniform",0.715040922164917
0,0,4,4,153121.454771125,"standard","Uniform",0.204010963439941
0,0,4,4,205895.364075589,"random","Uniform",0.225013017654419
0,0,6,6,228491.14377741,"standard","Uniform",0.112006902694702
0,0,6,6,308010.292829871,"random","Uniform",0.142008066177368
0,0,8,8,306157.496185064,"standard","Uniform",0.0850050449371338
0,0,8,8,429179.856037661,"random","Uniform",0.101006031036377
0,0,10,10,382562.650528657,"standard","Uniform",0.0660040378570557
0,0,10,10,507756.641141128,"random","Uniform",0.0950050354003906
0,0,12,12,463790.633824315,"standard","Uniform",0.0590040683746338
0,0,12,12,631594.497542721,"random","Uniform",0.0860049724578857
0,0,14,14,543118.545344875,"standard","Uniform",0.0630040168762207
0,0,14,14,712240.760006508,"random","Uniform",0.0810041427612305
0,0,16,16,624221.509601594,"standard","Uniform",0.0540030002593994
0,0,16,16,829134.668443862,"random","Uniform",0.0770039558410645
0,0,18,18,683980.805543782,"standard","Uniform",0.0490031242370605
0,0,18,18,909786.236020074,"random","Uniform",0.0790050029754639
0,0,20,20,765767.006581378,"standard","Uniform",0.0430030822753906
0,0,20,20,990242.871098319,"random","Uniform",0.0750038623809814
0,0,2,2,76501.3764815458,"standard","Normal",0.373020887374878
0,0,2,2,103486.60266617,"random","Normal",0.453025817871094
0,0,4,4,152745.41130865,"standard","Normal",0.139008045196533
0,0,4,4,207683.297750247,"random","Normal",0.171009063720703
0,0,6,6,229407.797352556,"standard","Normal",0.0900049209594727
0,0,6,6,312794.586682604,"random","Normal",0.122007131576538
0,0,8,8,306426.890434395,"standard","Normal",0.0730040073394775
0,0,8,8,418080.021449143,"random","Normal",0.098006010055542
0,0,10,10,383240.441935777,"standard","Normal",0.0600039958953857
0,0,10,10,522277.018652657,"random","Normal",0.0890049934387207
0,0,12,12,458944.362039474,"standard","Normal",0.0540030002593994
0,0,12,12,624664.28352294,"random","Normal",0.0800049304962158
0,0,14,14,535975.402416943,"standard","Normal",0.0530030727386475
0,0,14,14,729730.739881817,"random","Normal",0.0790050029754639
0,0,16,16,611106.078168832,"standard","Normal",0.0500030517578125
0,0,16,16,831984.919097251,"random","Normal",0.0750041007995605
0,0,18,18,690412.322402641,"standard","Normal",0.0480029582977295
0,0,18,18,938662.111767103,"random","Normal",0.0740039348602295
0,0,20,20,763500.643183106,"standard","Normal",0.0440020561218262
0,0,20,20,1038986.41140583,"random","Normal",0.0730040073394775
0,0,2,2,76566.8922164109,"standard","Exponential",0.254014015197754
0,0,2,2,101017.12846726,"random","Exponential",0.290015935897827
0,0,4,4,153585.783699455,"standard","Exponential",0.115005970001221
0,0,4,4,198371.930746926,"random","Exponential",0.14300799369812
0,0,6,6,231580.181857666,"standard","Exponential",0.0760049819946289
0,0,6,6,291663.687949103,"random","Exponential",0.105005979537964
0,0,8,8,310190.192097881,"standard","Exponential",0.0610041618347168
0,0,8,8,381041.057897465,"random","Exponential",0.0870048999786377
0,0,10,10,391066.964104079,"standard","Exponential",0.0540030002593994
0,0,10,10,471261.427896906,"random","Exponential",0.0820038318634033
0,0,12,12,473891.551434655,"standard","Exponential",0.0480031967163086
0,0,12,12,560285.126038217,"random","Exponential",0.0790050029754639
0,0,14,14,558271.186246364,"standard","Exponential",0.0460019111633301
0,0,14,14,647039.210868436,"random","Exponential",0.0750041007995605
0,0,16,16,645190.232086223,"standard","Exponential",0.0420019626617432
0,0,16,16,735477.809885241,"random","Exponential",0.0730040073394775
0,0,18,18,734699.214126256,"standard","Exponential",0.0410017967224121
0,0,18,18,826049.951734892,"random","Exponential",0.0710039138793945
0,0,20,20,826719.707194292,"standard","Exponential",0.0410020351409912
0,0,20,20,917731.015291492,"random","Exponential",0.0690038204193115
