"originx","originy","widthx","widthy","totalSpatialLoss","maxSpatialLoss","propSpatialLoss","bintype","distrib"
-0.4,-0.4,12,12,633761.695229672,3829514.198366,0.165494018928064,"random","unif"
-0.3,-0.3,12,12,464087.194757891,3829514.198366,0.12118696281526,"standard","unif"
-0.3,-0.3,12,12,631309.528598577,3829514.198366,0.16485368532331,"random","unif"
-0.2,-0.2,12,12,466549.155270067,3829514.198366,0.121829853893514,"standard","unif"
-0.2,-0.2,12,12,628004.217768801,3829514.198366,0.163990570406231,"random","unif"
-0.1,-0.1,12,12,469248.211452086,3829514.198366,0.122534657699482,"standard","unif"
-0.1,-0.1,12,12,625763.97358525,3829514.198366,0.163405576052507,"random","unif"
0,0,12,12,472181.084731238,3829514.198366,0.123300518100366,"standard","unif"
0,0,12,12,623249.024076922,3829514.198366,0.162748847972114,"random","unif"
-1,-1,14,14,534656.71556216,3829514.198366,0.139614762569699,"standard","unif"
-1,-1,14,14,712004.102291153,3829514.198366,0.185925437381837,"random","unif"
-0.9,-0.9,14,14,535377.764538865,3829514.198366,0.139803049892674,"standard","unif"
-0.9,-0.9,14,14,713536.786685996,3829514.198366,0.186325666840575,"random","unif"
-0.8,-0.8,14,14,536310.214891297,3829514.198366,0.140046540399336,"standard","unif"
-0.8,-0.8,14,14,717289.516689738,3829514.198366,0.187305616204738,"random","unif"
-0.7,-0.7,14,14,537455.088728641,3829514.198366,0.14034550099278,"standard","unif"
-0.7,-0.7,14,14,715392.978259998,3829514.198366,0.18681037364093,"random","unif"
-0.6,-0.6,14,14,538814.11677999,3829514.198366,0.140700383617821,"standard","unif"
-0.6,-0.6,14,14,716155.037471942,3829514.198366,0.187009369955467,"random","unif"
-0.5,-0.5,14,14,540389.63954131,3829514.198366,0.141111799447535,"standard","unif"
-0.5,-0.5,14,14,716328.696993142,3829514.198366,0.187054717618958,"random","unif"
-0.4,-0.4,14,14,542184.434916918,3829514.198366,0.141580473875318,"standard","unif"
-0.4,-0.4,14,14,714974.321614086,3829514.198366,0.186701049944966,"random","unif"
-0.3,-0.3,14,14,544201.452944494,3829514.198366,0.142107177243708,"standard","unif"
-0.3,-0.3,14,14,717651.201691967,3829514.198366,0.187400062910898,"random","unif"
-0.2,-0.2,14,14,546443.455778229,3829514.198366,0.142692630833276,"standard","unif"
-0.2,-0.2,14,14,717848.752009101,3829514.198366,0.187451649171427,"random","unif"
-0.1,-0.1,14,14,548912.594381181,3829514.198366,0.14333739632442,"standard","unif"
-0.1,-0.1,14,14,717611.505966078,3829514.198366,0.187389697176804,"random","unif"
0,0,14,14,551609.9936215,3829514.198366,0.144041767453653,"standard","unif"
0,0,14,14,716205.969976672,3829514.198366,0.18702266994656,"random","unif"
-1,-1,16,16,614582.709222441,3829514.198366,0.160485815533645,"standard","unif"
-1,-1,16,16,841262.776793789,3829514.198366,0.219678719862886,"random","unif"
-0.9,-0.9,16,16,615317.595726169,3829514.198366,0.160677716246284,"standard","unif"
