"originx","originy","widthx","widthy","totalSpatialLoss","maxSpatialLoss","propSpatialLoss","bintype","distrib"
-1,-1,7.2,7.2,275408.961180113,1379992.58973461,0.199572782657534,"standard","norm"
-1,-1,7.2,7.2,375319.163561674,1379992.58973461,0.271971868801014,"random","norm"
-1,-1,7.6,7.6,290574.227180212,1379992.58973461,0.210562164856328,"standard","norm"
-1,-1,7.6,7.6,394129.467363972,1379992.58973461,0.28560259692392,"random","norm"
-1,-1,8,8,299528.946471291,1379992.58973461,0.217051126723001,"standard","norm"
-1,-1,8,8,424241.047954479,1379992.58973461,0.307422700027733,"random","norm"
-1,-1,2,2,0,1052949.36189334,0,"standard","exp"
-1,-1,2,2,0,1052949.36189334,0,"random","exp"
-1,-1,2.4,2.4,94155.6871572432,1052949.36189334,0.0894209071820315,"standard","exp"
-1,-1,2.4,2.4,126706.601749872,1052949.36189334,0.120334943289236,"random","exp"
-1,-1,2.8,2.8,110609.329176847,1052949.36189334,0.105047149634962,"standard","exp"
-1,-1,2.8,2.8,143056.387418305,1052949.36189334,0.135862551985474,"random","exp"
-1,-1,3.2,3.2,125658.579740755,1052949.36189334,0.11933962286164,"standard","exp"
-1,-1,3.2,3.2,162678.954473491,1052949.36189334,0.154498364651624,"random","exp"
-1,-1,3.6,3.6,138501.178854266,1052949.36189334,0.131536409885109,"standard","exp"
-1,-1,3.6,3.6,179830.190022474,1052949.36189334,0.170787120948644,"random","exp"
-1,-1,4,4,141421.35623731,1052949.36189334,0.134309741147491,"standard","exp"
-1,-1,4,4,215649.874961241,1052949.36189334,0.204805551687192,"random","exp"
-1,-1,4.4,4.4,165727.702451762,1052949.36189334,0.157393801116668,"standard","exp"
-1,-1,4.4,4.4,217973.684540815,1052949.36189334,0.207012504522412,"random","exp"
-1,-1,4.8,4.8,180863.82562472,1052949.36189334,0.171768778414476,"standard","exp"
-1,-1,4.8,4.8,236280.200508693,1052949.36189334,0.224398445983985,"random","exp"
-1,-1,5.2,5.2,194685.630678635,1052949.36189334,0.184895530330695,"standard","exp"
-1,-1,5.2,5.2,254177.296410858,1052949.36189334,0.241395555769002,"random","exp"
-1,-1,5.6,5.6,206469.441693052,1052949.36189334,0.196086772227863,"standard","exp"
-1,-1,5.6,5.6,271061.595639216,1052949.36189334,0.257430799095422,"random","exp"
-1,-1,6,6,206381.050501962,1052949.36189334,0.196002825939192,"standard","exp"
-1,-1,6,6,267232.048039232,1052949.36189334,0.253793826854803,"random","exp"
-1,-1,6.4,6.4,233323.106065189,1052949.36189334,0.221590054098751,"standard","exp"
-1,-1,6.4,6.4,303265.495377047,1052949.36189334,0.288015270584084,"random","exp"
-1,-1,6.8,6.8,250218.070004787,1052949.36189334,0.237635425843142,"standard","exp"
-1,-1,6.8,6.8,320682.54787776,1052949.36189334,0.30455647677219,"random","exp"
-1,-1,7.2,7.2,264960.547270444,1052949.36189334,0.251636552392237,"standard","exp"
-1,-1,7.2,7.2,337784.399185227,1052949.36189334,0.320798332198851,"random","exp"
-1,-1,7.6,7.6,277476.918967894,1052949.36189334,0.263523516903943,"standard","exp"
-1,-1,7.6,7.6,355690.765705698,1052949.36189334,0.337804246413257,"random","exp"
-1,-1,8,8,286709.170555779,1052949.36189334,0.27229150891002,"standard","exp"
-1,-1,8,8,377724.265657317,1052949.36189334,0.358729754086295,"random","exp"
