"originx","originy","widthx","widthy","totalSpatialLoss","bintype","distrib"
-3.53333333333333,-3.53333333333333,4,4,205445.393421516,"random","Uniform"
-3.46666666666667,-3.46666666666667,4,4,148803.178072474,"standard","Uniform"
-3.46666666666667,-3.46666666666667,4,4,208459.146659984,"random","Uniform"
-3.4,-3.4,4,4,146921.533566169,"standard","Uniform"
-3.4,-3.4,4,4,211241.242569347,"random","Uniform"
-3.33333333333333,-3.33333333333333,4,4,145291.147696018,"standard","Uniform"
-3.33333333333333,-3.33333333333333,4,4,213928.148020484,"random","Uniform"
-3.26666666666667,-3.26666666666667,4,4,143928.730435318,"standard","Uniform"
-3.26666666666667,-3.26666666666667,4,4,215438.902224642,"random","Uniform"
-3.2,-3.2,4,4,142849.377292799,"standard","Uniform"
-3.2,-3.2,4,4,217148.549662209,"random","Uniform"
-3.13333333333333,-3.13333333333333,4,4,142065.834306066,"standard","Uniform"
-3.13333333333333,-3.13333333333333,4,4,218369.000919342,"random","Uniform"
-3.06666666666667,-3.06666666666667,4,4,141587.801675512,"standard","Uniform"
-3.06666666666667,-3.06666666666667,4,4,219107.774919338,"random","Uniform"
-3,-3,4,4,141421.35623731,"standard","Uniform"
-3,-3,4,4,219540.373477143,"random","Uniform"
-2.93333333333333,-2.93333333333333,4,4,141568.568371063,"standard","Uniform"
-2.93333333333333,-2.93333333333333,4,4,218871.771149413,"random","Uniform"
-2.86666666666667,-2.86666666666667,4,4,142027.36769717,"standard","Uniform"
-2.86666666666667,-2.86666666666667,4,4,218098.70833462,"random","Uniform"
-2.8,-2.8,4,4,142791.677379454,"standard","Uniform"
-2.8,-2.8,4,4,217353.644413412,"random","Uniform"
-2.73333333333333,-2.73333333333333,4,4,143851.797217525,"standard","Uniform"
-2.73333333333333,-2.73333333333333,4,4,215550.08600022,"random","Uniform"
-2.66666666666667,-2.66666666666667,4,4,145194.981173777,"standard","Uniform"
-2.66666666666667,-2.66666666666667,4,4,213598.670037646,"random","Uniform"
-2.6,-2.6,4,4,146806.133739479,"standard","Uniform"
-2.6,-2.6,4,4,211485.14951842,"random","Uniform"
-2.53333333333333,-2.53333333333333,4,4,148668.544941336,"standard","Uniform"
-2.53333333333333,-2.53333333333333,4,4,208280.140110289,"random","Uniform"
-2.46666666666667,-2.46666666666667,4,4,150764.593839388,"standard","Uniform"
-2.46666666666667,-2.46666666666667,4,4,205222.32174278,"random","Uniform"
-2.4,-2.4,4,4,153076.3695561,"standard","Uniform"
-2.4,-2.4,4,4,201138.068200705,"random","Uniform"
-2.33333333333333,-2.33333333333333,4,4,155586.180852723,"standard","Uniform"
-2.33333333333333,-2.33333333333333,4,4,196465.507916818,"random","Uniform"
-2.26666666666667,-2.26666666666667,4,4,158276.945000196,"standard","Uniform"
-2.26666666666667,-2.26666666666667,4,4,191911.195959226,"random","Uniform"
-2.2,-2.2,4,4,161132.461407799,"standard","Uniform"
-2.2,-2.2,4,4,186080.781609085,"random","Uniform"
-2.13333333333333,-2.13333333333333,4,4,164137.584514602,"standard","Uniform"
-2.13333333333333,-2.13333333333333,4,4,180748.316555728,"random","Uniform"
-2.06666666666667,-2.06666666666667,4,4,167278.314552596,"standard","Uniform"
-2.06666666666667,-2.06666666666667,4,4,175069.218551524,"random","Uniform"
-6,-6,6,6,250025.709712723,"standard","Uniform"
-6,-6,6,6,317983.679412147,"random","Uniform"
-5.9,-5.9,6,6,244584.178553018,"standard","Uniform"
-5.9,-5.9,6,6,318549.085819145,"random","Uniform"
-5.8,-5.8,6,6,239606.240062545,"standard","Uniform"
-5.8,-5.8,6,6,317656.385687161,"random","Uniform"
-5.7,-5.7,6,6,235089.650433183,"standard","Uniform"
-5.7,-5.7,6,6,316772.966538403,"random","Uniform"
-5.6,-5.6,6,6,231025.788610953,"standard","Uniform"
-5.6,-5.6,6,6,315131.994496524,"random","Uniform"
-5.5,-5.5,6,6,227401.995127447,"standard","Uniform"
-5.5,-5.5,6,6,312724.24161426,"random","Uniform"
-5.4,-5.4,6,6,224203.961566352,"standard","Uniform"
-5.4,-5.4,6,6,309499.493191041,"random","Uniform"
-5.3,-5.3,6,6,221417.764007742,"standard","Uniform"
-5.3,-5.3,6,6,305861.535174551,"random","Uniform"
-5.2,-5.2,6,6,219031.361714799,"standard","Uniform"
-5.2,-5.2,6,6,300504.084637642,"random","Uniform"
-5.1,-5.1,6,6,217035.570942863,"standard","Uniform"
-5.1,-5.1,6,6,295467.081118908,"random","Uniform"
-5,-5,6,6,215424.623500384,"standard","Uniform"
-5,-5,6,6,289451.07356629,"random","Uniform"
-4.9,-4.9,6,6,217261.604391854,"standard","Uniform"
